Power Label,Scheduler,count,mean,std,median
0.01W,DRR,47960,9415.514,14331.458,2733.04
0.01W,MAXCI,47860,10401.862,16502.27,1040.3726
0.01W,MAXCI_MB,17932,19107.895,22554.807,2177.2349
0.01W,PF,47944,9262.436,15775.707,793.44
0.1W,DRR,47960,9415.514,14331.458,2733.04
0.1W,MAXCI,47860,10401.862,16502.27,1040.3726
0.1W,MAXCI_MB,17932,19107.895,22554.807,2177.2349
0.1W,PF,47944,9262.436,15775.707,793.44
0.5W,DRR,47960,9415.514,14331.458,2733.04
0.5W,MAXCI,47860,10401.862,16502.27,1040.3726
0.5W,MAXCI_MB,17932,19107.895,22554.807,2177.2349
0.5W,PF,47944,9262.436,15775.707,793.44
2W,DRR,47960,9415.514,14331.458,2733.04
2W,MAXCI,47860,10401.862,16502.27,1040.3726
2W,MAXCI_MB,17932,19107.895,22554.807,2177.2349
2W,PF,47944,9262.436,15775.707,793.44
