Queue Size,Scheduler,count,mean,std,median
50KiB,DRR,47960,606.9088,862.4737069939703,70.926895
50KiB,MAXCI,47860,2406.962,4861.518234098177,336.15402
50KiB,MAXCI_MB,17200,11306.244,19710.456749438334,422.7005
50KiB,PF,47944,450.50623,454.89183279450776,408.153
100KiB,DRR,47960,1172.4313,1538.4301665735677,167.347
100KiB,MAXCI,47860,2455.161,5122.7979595078505,522.997
100KiB,MAXCI_MB,17200,17372.953,22817.508817233316,1669.765
100KiB,PF,47944,902.8369,972.7740331508151,814.1405
2MiB,DRR,47960,12424.623,14043.752671792223,5488.6797
2MiB,MAXCI,47860,13590.243,15372.012807478275,10059.2
2MiB,MAXCI_MB,18664,21676.258,21201.993158094992,22238.9
2MiB,PF,47944,12451.594,11207.178442407934,15949.2
10MiB,DRR,47960,23458.092,16414.29632537573,14218.0
10MiB,MAXCI,47860,23155.082,22432.973210298274,16536.1
10MiB,MAXCI_MB,18664,25328.076,23739.385720414954,24768.299
10MiB,PF,47944,23244.807,22705.061675929996,16838.1
